commit type,added lines count
Multi-lang,236
Other,33
Other,175
Other,108
Other,67
Multi-lang,918
Other,0
Other,0
Other,0
Multi-lang,288
Multi-lang,439
Other,2
Other,63
Multi-lang,602
Multi-lang,566
Multi-lang,271
Other,287
Other,68
Other,18
Other,11
Other,1
Other,4
Other,17
Other,4
Other,17
Other,1
Other,2
Other,2
Other,12
Other,787
Other,5
Other,8
Other,10
Multi-lang,140
Multi-lang,11
Other,204
Other,6
Other,79
Other,7
Other,0
Other,16
Other,4
Other,24
Other,1
Other,5
Other,118
Other,0
Other,158
Other,4
Other,5
Other,2
Other,8
Other,6
Other,24
Other,1
Other,2
Other,2
Other,2
Other,0
Other,1
Multi-lang,21
Other,1
Other,11
Multi-lang,42
Multi-lang,136
Other,0
Multi-lang,11
Other,41
Multi-lang,171
Other,0
Other,4
Other,4
Multi-lang,193
Other,3
Multi-lang,734
Multi-lang,184
Other,1
Other,4
Other,54
Other,3
Other,8
Other,33
Other,1
Other,1
Other,3
Multi-lang,94
Other,6
Other,3
Other,1
Other,108
Other,4
Other,4
Other,12
Other,14
Other,175
Other,2
Other,3
Other,5
Other,13
Other,3
Other,1
Other,22
Other,7
Other,1
Other,2
Other,16
Other,3
Other,21
Other,14
Other,16
Other,2
Other,8
Multi-lang,43
Other,36
Other,15
Other,16
Other,19
Multi-lang,3
Other,2
Other,13
Other,11
Other,14
Multi-lang,283
Other,7
Other,50
Other,2
Other,7
Multi-lang,229
Other,197
Other,23
Multi-lang,38
Multi-lang,55
Other,2
Other,6
Other,1
Other,2
Other,4
Other,56
Other,42
Other,8
Other,16
Other,6
Other,1
Other,2
Multi-lang,83
Multi-lang,290
Other,1
Other,1
Multi-lang,1050
Multi-lang,519
Other,1
Other,1
Other,6
Other,59
Other,4
Other,1
Other,1
Other,2
Multi-lang,265
Other,1
Other,2
Multi-lang,1
Multi-lang,18
Other,1
Other,33
Multi-lang,795
Other,2
Other,20
Other,125
Other,15
Other,1
Other,0
Other,5
Other,3
Other,11
Multi-lang,3
Other,2
Other,1
Other,3
Multi-lang,16
Other,2
Multi-lang,52
Other,15
Other,11
Other,9
Other,1
Other,4
Other,17
Other,33
Other,23
Multi-lang,9
Other,32
Other,3
Other,10
Other,3
Other,14
Multi-lang,71
Other,2
Other,71
Other,1
Other,1
Other,9
Other,1
Other,4
Multi-lang,474
Other,22
Other,0
Multi-lang,301
Multi-lang,222
Other,1
Other,3
Other,22
Other,11
Other,1
Other,1
Other,13
Other,2
Other,0
Multi-lang,11
Multi-lang,180
Other,1
Other,2
Other,2
Other,3
Other,1
Multi-lang,49
Other,25
Other,0
Other,40
Other,1
Other,1
Multi-lang,65
Other,8
Other,4
Other,3
Multi-lang,256
Other,3
Other,1
Other,1
Other,25
Other,1
Multi-lang,10
Multi-lang,57
Multi-lang,243
Multi-lang,76
Multi-lang,21
Other,0
Multi-lang,108
Other,3
Other,2
Other,3
Other,1
Multi-lang,38
Multi-lang,143
Multi-lang,19
Other,5
Other,1
Multi-lang,286
Multi-lang,374
Other,0
Multi-lang,190
Other,31
Other,3
Other,80
Multi-lang,200
Other,1
Other,2
Other,1
Other,3
Other,2
Other,4
Other,45
Other,174
Other,21
Other,42
Multi-lang,174
Other,51
Multi-lang,144
Other,3
Other,2
Other,6
Other,1
Other,4
Multi-lang,9
Multi-lang,332
Other,1
Other,35
Other,98
Other,1
Other,3
Other,3
Other,7
Other,5
Other,4
Other,1
Other,10
Other,8
Other,3
Other,5
Other,0
Other,0
Other,1
Other,3
Other,15
Other,8
Multi-lang,7
Other,21
Other,69
Other,2
Other,2
Other,3
Other,1723
Other,6
Other,329
Other,1
Other,1
Other,1
Other,1
Other,1
Other,4
Other,1
Other,15
Other,4
Other,1
Other,2
Other,8
Other,85
Other,8
Other,0
Multi-lang,82
Other,3
Other,1
Other,1
Other,14
Other,2
Multi-lang,52
Other,4
Other,1
Other,51
Other,17
Other,24
Other,3
Other,66
Other,75
Multi-lang,11
Other,42
Multi-lang,53
Other,2
Other,317
Other,1
Other,16
Other,7
Other,1
Other,2
Other,16
Other,2
Other,4
Other,5
Other,19
Multi-lang,14
Multi-lang,155
Other,4
Other,4
Other,4
Other,4
Other,0
Other,310
Multi-lang,244
Other,24
Other,6
Other,15
Other,8
Multi-lang,109
Other,1
Other,14
Other,1
Other,3
Other,9
Other,6
Other,31
Other,0
Other,4
Other,1
Other,25
Other,13
Multi-lang,2
Other,3
Multi-lang,49
Multi-lang,22
Other,2
Other,28
Other,1
Other,0
Multi-lang,24
Other,1
Other,15
Other,2
Other,1
Other,3
Other,5
Other,11
Other,8
Other,23
Multi-lang,5
Other,0
Other,66
Other,11
Multi-lang,321
Other,2
Other,2
Other,2
Other,1
Other,3
Other,3
Other,3
Other,4
Other,1
Other,1
Other,1
Other,9
Other,163
Multi-lang,224
Other,3
Other,2
Other,0
Other,71
Other,1
Other,2
Other,1
Other,3
Other,2
Other,1
Other,5
Other,1
Other,1
Other,1
Other,1
Other,63
Other,0
Other,1
Other,1
Other,1
Other,3
Other,10
Multi-lang,352
Other,0
Other,0
Other,34
Other,2
Other,20
Other,7
Other,28
Other,150
Other,0
Other,65
Other,1
Other,8
Multi-lang,19
Multi-lang,10
Multi-lang,257
Other,0
Other,1
Other,0
Other,0
Other,0
Other,23
Other,43
Multi-lang,170
Multi-lang,65
Multi-lang,29
Multi-lang,47
Other,5
Other,2
Other,118
Other,29
Other,8
Other,7
Other,7
Multi-lang,16
Other,0
Other,1
Other,0
Other,0
Other,1
Other,8
Other,8
Other,35
Other,2
Other,71
Other,1
Other,71
Other,0
Other,3
Other,4
Other,12
Other,100
Other,22
Other,183
Other,3
Other,0
Other,0
Other,0
Other,0
Other,10
Other,0
Other,1
Other,4
Other,0
Other,0
Multi-lang,17
Multi-lang,16
Other,0
Other,4
Multi-lang,1262
Other,1
Other,61
Multi-lang,114
Multi-lang,1117
Multi-lang,267
Multi-lang,4
Multi-lang,175
Other,9
Other,839
Other,1
Other,0
Multi-lang,32
Multi-lang,624
Other,4
Other,14
Other,129
Other,180
Other,1
Other,1
Other,1
Multi-lang,34
Multi-lang,354
Multi-lang,64
Other,10
Other,0
Other,20
Multi-lang,23
Multi-lang,55
Multi-lang,650
Other,1
Multi-lang,55
Other,2
Other,1
Other,2
Other,7
Other,7
Other,0
Other,7
Other,79
Multi-lang,475
Multi-lang,154
Other,25
Multi-lang,300
Multi-lang,166
Multi-lang,2
Multi-lang,375
Other,0
Multi-lang,2
Multi-lang,183
Other,136
Multi-lang,141
Multi-lang,241
Other,1
Multi-lang,12
Multi-lang,112
Other,117
Other,22
Other,34
Other,22
Multi-lang,182
Other,199
Multi-lang,52
Other,15
Multi-lang,235
Other,1
Other,5
Other,25
Multi-lang,572
Other,11
Other,8
Other,1
Other,0
Other,2
Other,2
Other,45
Other,1
Other,1
Other,2
Other,22
Other,42
Other,1
Other,1
Other,32
Other,4
Other,1
Other,11
Other,11
Other,1
Other,4
Other,8
Other,14
Other,0
Other,12
Other,4
Other,4
Other,2
Other,12
Other,5
Multi-lang,8
Multi-lang,146
Multi-lang,1643
Other,20
Other,15
Other,9
Multi-lang,1256
Multi-lang,908
Multi-lang,119
Other,112
Multi-lang,412
Multi-lang,491
Other,71
Other,251
Multi-lang,123
Multi-lang,38
Multi-lang,199
Multi-lang,595
Multi-lang,5
Other,0
Multi-lang,59
Other,0
Other,9835
Multi-lang,98
Multi-lang,55
Multi-lang,362
Other,1
Other,1
Multi-lang,2192
Multi-lang,139
Other,1
Multi-lang,34
Multi-lang,678
Multi-lang,0
Other,23
Multi-lang,892
Multi-lang,87
Multi-lang,8
Other,61
Other,1
Other,9
Other,9
Multi-lang,856
Multi-lang,214
Multi-lang,83
Multi-lang,33
Multi-lang,3641
Multi-lang,239
Other,3
Other,5
Multi-lang,28
Multi-lang,18
Multi-lang,73
Multi-lang,458
Other,0
Multi-lang,7756
Other,4
Other,17
Other,837
Other,3
Other,836
Other,4
Other,7
Other,2693
Multi-lang,17
Multi-lang,2687
Other,5
Multi-lang,2728
Other,7
Other,2673
Other,0
Multi-lang,121
Other,1
Other,4
Other,2688
Other,2684
Other,2663
Other,3
Multi-lang,2669
Multi-lang,26
Multi-lang,2687
Other,11
Other,2735
Other,2
Other,2649
Other,2
Multi-lang,2677
Other,3
Multi-lang,451
Other,2623
Other,14
Other,2
Other,2602
Multi-lang,35
Other,2586
Other,10
Multi-lang,2672
Other,4
Other,777
Other,2572
Other,2545
Other,2540
Multi-lang,2527
Other,31
Other,47
Other,2
Other,10
Other,8
Other,2
Other,3
Other,23
Other,23
Other,39
Multi-lang,94
Other,23
Other,1
Other,40
Other,1
Other,1
Other,15
Other,4
Other,6
Multi-lang,174
Multi-lang,178
Multi-lang,37
Other,47
Other,5
Other,3
Other,4
Other,16
Other,6
Other,27
Multi-lang,306
Other,4
Other,32
Other,7
Multi-lang,151
Other,194
Other,80
Other,51
Multi-lang,176
Multi-lang,30
Other,8
Other,4
Multi-lang,57
Other,3
Other,15
Other,1
Other,4
Multi-lang,20
Multi-lang,109
Multi-lang,495
Other,1
Other,1
Other,5
Multi-lang,104
Other,9
Other,7
Multi-lang,98
Other,15
Other,37
Multi-lang,20
Multi-lang,211
Multi-lang,4733
Other,11
Other,6
Other,20
Multi-lang,39
Other,6
Multi-lang,90
Other,55
Other,103
Other,29
Other,7
Other,1
Other,40
Other,23
Other,38
Multi-lang,87
Other,67
Multi-lang,1975
Other,0
Other,2374
Other,99
Other,23
Other,33
Other,27
Other,1
Other,1
Other,1
Other,16
Other,1
Other,1
Other,1
Other,17
Other,1
Other,24
Other,3
Other,3
Other,19
Other,1
Other,2
Other,5
Other,1
Other,1
Other,1
Other,1
Other,1
Other,1
Other,1
Other,24
Other,43
Other,2
Multi-lang,82
Other,30
Other,140
Multi-lang,5183
Other,60
Multi-lang,1826
Other,383
Multi-lang,1837
Other,18
Multi-lang,23
Other,103
Other,1
Other,11
Other,1
Other,2
Other,9
Other,9
Other,23
Multi-lang,286
Other,5
Other,18
Other,20
Other,11
Other,1
Other,6
Multi-lang,33
Other,70
Other,36
Other,1
Other,13
Other,48
Other,3
Other,2
Other,1
Other,18
Other,2
Other,1
Other,2
Other,0
Other,499
Multi-lang,14
Other,40
Other,5
Multi-lang,10
Other,1
Multi-lang,67
Other,200
Other,0
Other,1
Other,1
Other,5
Other,111
Other,1
Other,1
Other,1
Other,6
Other,98
Multi-lang,283
Other,1
Other,1
Other,1
Other,18
Other,2
Other,1
Multi-lang,252
Other,2
Other,10
Other,1
Other,24
Other,10
Other,2
Other,0
Other,22
Multi-lang,0
Multi-lang,430
Other,0
Other,86
Other,8
Multi-lang,125
Other,8
Other,41
Other,17
Other,1185
Other,2
Multi-lang,168
Other,34
Other,46
Other,34
Other,3021
Other,1200
Other,1
Other,2
Other,1
Other,3005
Other,14
Other,1176
Other,19
Other,2
Other,0
Other,37
Other,0
Multi-lang,452
Multi-lang,8
Other,7
Other,93
Other,27
Other,45
Other,17
Other,1
Other,5
Other,55
Other,96
Other,0
Other,13
Other,1
Other,0
Other,0
Other,0
Other,11
Other,4
Other,12
Other,0
Other,4
Multi-lang,242
Other,1
Multi-lang,27
Multi-lang,184
Multi-lang,42
Other,10
Multi-lang,62
Multi-lang,5
Multi-lang,34
Other,1
Multi-lang,83
Multi-lang,107
Other,15
Other,0
Other,0
Other,2
Other,0
Other,0
Multi-lang,107
Multi-lang,240
Multi-lang,1190
Multi-lang,119
Other,0
Multi-lang,41
Multi-lang,143
Other,338
Other,468
Multi-lang,298
Other,0
Other,0
Other,8
Other,41
Other,17
Other,45
Other,47
Other,66
Other,4
Other,16
Other,3
Multi-lang,88
Multi-lang,55
Other,2
Other,1
Other,1
Multi-lang,195
Multi-lang,267
Other,4
Multi-lang,436
Other,15
Other,0
Other,8
Multi-lang,64
Multi-lang,382
Other,44
Multi-lang,264
Other,13
Other,13
Other,0
Other,3
Other,100
Other,8
Other,10
Other,0
Multi-lang,300
Other,49
Other,62
Other,1
Other,1
Other,3
Other,25
Other,15
Other,15
Other,23
Other,1
Other,16
Other,26
Other,0
Other,18
Other,4
Other,6
Other,1
Other,1
Other,5
Other,65
Other,2
Other,8
Other,9
Other,1
Other,1
Other,1
Other,28
Other,10
Other,95
Other,5
Other,8
Other,10
Other,48
Other,27
Other,1
Multi-lang,1
Other,13
Other,0
Other,5
Other,96
Multi-lang,103
Other,25
Other,0
Other,0
Other,5
Other,115
Other,125
Multi-lang,79
Other,181
Other,5
Other,29
Other,10
Other,1
Other,135
Other,19
Other,147
Other,56
Multi-lang,536
Other,13
Multi-lang,21
Multi-lang,49
Other,6
Multi-lang,83
Other,0
Multi-lang,155
Other,2
Other,1
Other,1
Other,8
Other,2
Other,2
Other,2
Other,62
Multi-lang,126
Other,70
Multi-lang,55
Other,2
Other,1
Other,149
Multi-lang,20
Other,28
Multi-lang,502
Other,1
Other,1
Other,5
Other,1
Other,0
Other,127
Other,54
Other,42
Other,1
Other,1
Other,25
Other,282
Other,579
Other,2
Other,20
Other,1
Multi-lang,113
Multi-lang,180
Other,534
Other,2
Other,1
Other,15
Other,670
Other,1
Other,1
Other,8
Other,1
Other,9
Other,1
Other,1
Other,11
Other,3
Other,54
Other,44
Other,18
Other,38
Other,20
Other,7
Other,1
Other,1
Multi-lang,171
Other,1
Other,1
Other,14
Other,48
Other,1
Other,1
Other,26
Other,266
Other,1
Other,24
Other,1
Other,1
Multi-lang,20
Other,1
Other,61
Other,57
Other,2
Other,2
Other,70
Other,0
Multi-lang,52
Other,1
Other,1
Other,1
Other,1
Other,47
Other,148
Other,36
Other,38
Other,8
Other,9
Other,2
Other,2
Other,3
Other,3
Other,1
Other,1
Multi-lang,439
Other,1
Other,1
Other,7
Other,4
Other,0
Other,11
Other,1
Other,69
Other,8
Other,0
Other,1
Other,1
Multi-lang,200
Other,3
Other,2
Other,4
Multi-lang,39
Other,92
Other,0
Other,34
Multi-lang,51
Other,32
Other,3
Other,3
Other,7
Other,11
Other,1
Other,1
Other,20
Other,1
Other,1
Other,2
Other,77
Other,1
Other,1
Other,3
Other,1
Other,1
Other,1
Other,1
Other,1
Other,16
Other,34
Other,0
Other,2
Other,1
Other,1
Other,12
Other,1
Other,1
Other,5
Other,3
Other,3
Other,0
Multi-lang,269
Other,8
Other,1
Other,1
Other,1
Other,1
Other,12
Other,0
Other,5
Other,13
Other,1
Other,1
Other,11
Other,0
Other,9
Other,1
Other,1
Multi-lang,28
Other,3
Other,1
Other,6
Other,6
Multi-lang,65
Other,3
Other,1
Other,1
Other,1
Other,72
Other,1
Other,0
Other,17
Other,6
Other,19
Other,14
Multi-lang,38
Other,22
Other,68
Other,59
Other,4
Other,1
Other,9
Other,1
Other,1
Multi-lang,8
Other,1
Other,129
Other,4
Other,1
Other,1
Other,17
Other,1
Other,1
Other,19
Other,72
Other,9
Other,1
Other,8
Other,13
Other,110
Other,1
Other,28
Other,1
Other,30
Other,55
Other,9
Other,1
Other,1
Other,7
Other,5
Multi-lang,160
Other,2
Other,5
Other,1
Other,25
Other,25
Other,34
Other,175
Other,1
Other,1
Other,1
Other,18
Other,118
Other,2
Other,1
Multi-lang,80
Other,18
Other,65
Other,16
Multi-lang,47
Other,470
Other,2
Other,0
Other,0
Multi-lang,328
Other,8
Other,8
Other,106
Other,24
Other,24
Other,0
Other,9
Other,55
Other,10
Other,10
Multi-lang,3
Multi-lang,85
Other,1
Other,25
Other,26
Other,19
Multi-lang,688
Other,1
Other,2
Other,1
Other,1
Other,5
Other,4
Other,17
Other,1
Other,2
Other,3
Other,36
Other,32
Multi-lang,209
Multi-lang,593
Other,1
Other,1
Other,1
Other,98
Other,55
Other,20
Other,0
Other,6
Other,3
Other,1
Other,0
Other,7
Multi-lang,38
Other,4
Other,1
Other,22
Multi-lang,388
Other,1
Other,1
Other,21
Other,5
Other,44
Other,4
Other,22
Other,5
Other,6
Other,1
Other,2
Other,1
Other,4
Other,7
Other,6
Other,5
Other,5
Other,22
Other,36
Other,1
Other,23
Multi-lang,0
Multi-lang,57
Other,19
Other,2
Other,412
Other,790
Other,3
Other,78
Other,98
Other,181
Multi-lang,24
Other,35
Other,1
Other,280
Other,690
Other,99
Multi-lang,164
Other,3
Other,1
Other,1
Other,33
Other,4
Other,1
Multi-lang,145
Other,3346
Multi-lang,3495
Other,45
Other,10
Other,14
Other,5
Other,8
Other,18
Other,3
Other,52
Other,12
Other,4
Other,45
Other,80
Other,1
Other,14
Multi-lang,520
Other,1
Other,48
Other,289
Other,1
Other,124
Other,1
Other,21
Other,19
Other,1
Other,16
Other,13
Other,72
Other,2
Other,3
Other,2
Other,23
Other,6
Other,7
Other,6
Other,4
Other,0
Other,4
Other,2
Other,0
Other,1
Other,1
Other,1
Other,3
Other,7
Other,3
Other,11
Other,3
Multi-lang,143
Other,17
Other,5
Other,1
Other,1
Other,3
Other,219
Other,2
Other,329
Multi-lang,1
Other,10
Other,2
Other,55
Other,42
Other,11
Other,21
Other,5
Other,8
Other,3
Other,15
Multi-lang,145
Other,1
Other,198
Multi-lang,141
Other,143
Other,0
Other,17
Other,31
Multi-lang,344
Other,5
Other,1
Other,1
Other,3
Other,2
Other,4
Other,9
Other,2
Other,2
Other,35
Other,62
Other,153
Other,23
Other,61
Other,6
Other,2
Other,0
Other,12
Other,4
Other,3
Other,18
Other,1
Multi-lang,605
Other,8
Other,3
Multi-lang,18
Other,2
Other,3
Other,6
Other,4
Other,1
Other,4
Other,8
Other,5
Other,23
Other,27
Other,5
Other,1
Other,3
Other,10
Other,33
Other,4
Other,5
Other,150
Other,2
Other,621
Other,23
Other,13
Other,16
Other,11
Other,45
Other,4
Other,2
Other,3
Other,16
Other,35
Other,11
Other,9
Other,8
Other,14
Other,9
Other,8
Other,45
Other,21
Other,1
Other,12
Other,5
Other,18
Other,2
Other,1
Other,8
Multi-lang,1
Other,3
Multi-lang,25
Multi-lang,136
Other,143
Other,2
Other,4
Other,12
Other,1
Multi-lang,109
Other,31
Other,1
Other,1
Other,22
Other,5
Other,2
Other,5
Other,4
Other,8
Other,14
Other,1
Other,1
Other,36
Other,4
Other,11
Other,2
Other,12
Other,84
Other,2
Other,17
Other,1
Other,0
Other,9
Other,1
Other,1
Other,46
Other,3
Other,52
Multi-lang,1184
Other,10
Other,1
Other,13
Other,1
Other,2
Multi-lang,17
Other,18
Other,15
Other,35
Multi-lang,24
Other,2
Other,52
Other,6
Other,1
Other,4
Multi-lang,0
Other,5
Other,2
Other,2
Other,1
Other,2
Other,2
Other,8
Other,8
Other,13
Other,2
Other,104
Other,1
Other,6
Other,3
Other,5
Other,2
Multi-lang,107
Other,1
Other,80
Other,18
Other,8
Other,8
Other,1
Other,14
Other,1
Other,6
Other,21
Other,4
Other,122
Other,8
Other,47
Other,30
Other,10
Other,1
Other,2
Other,1
Other,2
Other,14
Other,2
Other,2
Other,1
Other,78
Other,1
Other,5
Other,1
Other,5
Other,12
Other,31
Other,80
Other,1
Other,2
Other,22
Other,1
Other,3
Other,2
Other,29
Other,1
Other,107
Other,15
Other,3
Other,8
Other,8
Other,67
Other,17
Other,8
Other,61
Other,15
Other,23
Other,2
Other,1
Other,80
Other,13
Other,16
Other,1
Other,1
Other,1
Other,20
Other,55
Other,2
Other,4
Other,2
Other,10
Other,1
Other,11
Other,46
Multi-lang,109
Other,1
Other,1
Other,10
Other,55
Other,1
Other,57
Other,2
Other,13
Other,1
Other,30
Other,0
Other,29
Other,1
Other,1
Other,4
Other,12
Other,1
Other,9
Other,12
Other,23
Other,2
Other,11
Other,1
Other,12
Other,10
Other,33
Other,39
Other,14
Other,12
Other,1
Other,12
Other,3
Other,13
Other,55
Other,3
Other,14
Other,16
Other,1
Other,6
Other,24
Other,85
Other,2
Other,17
Other,1
Other,4
Multi-lang,257
Other,14
Other,11
Other,72
Other,3
Other,68
Other,10
Other,1
Other,7
Other,41
Other,16
Other,27
Other,45
Other,1
Other,23
Other,1
Other,90
Other,5
Other,1
Other,0
Other,1
Other,1
Other,1
Other,15
Other,9
Other,3
Other,2
Other,6
Other,1
Other,2
Other,15
Other,3
Other,1
Other,11
Other,13
Other,1
Other,34
Other,12
Other,24
Other,1
Other,2
Multi-lang,5
Other,119
Other,2
Other,18
Other,33
Other,4
Other,0
Other,38
Other,2
Other,30
Other,28
Multi-lang,86
Other,2
Other,6
Other,17
Other,7
Other,64
Other,1
Other,3
Other,11
Other,34
Other,159
Other,1
Other,1
Other,137
Multi-lang,31
Other,6
Other,101
Other,1
Other,30
Other,4
Other,3
Other,6
Multi-lang,1246
Multi-lang,87
Other,41
Other,1
Other,0
Other,1
Other,1
Other,3
Other,4
Other,70
Multi-lang,689
Other,16
Other,11
Other,22
Other,45
Other,58
Other,24
Other,2
Other,31
Multi-lang,441
Other,2
Other,9
Other,1
Other,6
Other,13
Other,38
Other,7
Other,0
Other,1
Other,21
Other,69
Other,4
Other,23
Other,5
Other,51
Other,40
Other,7
Other,1
Other,8
Other,3
Other,14
Other,10
Other,104
Other,83
Other,23
Other,58
Other,1
Other,15
Other,46
Other,1
Other,2
Other,237
Other,77
Other,2
Other,16
Other,38
Multi-lang,263
Other,6
Other,17
Other,2
Other,21
Other,2
Other,4
Multi-lang,618
Other,5
Other,83
Other,31
Other,30
Other,28
Other,8
Other,7
Other,4
Multi-lang,16
Other,3
Other,1
Other,1
Other,1
Other,1
Other,4
Other,16
Other,8
Other,7
Other,5
Other,51
Other,10
Other,708
Other,8
Other,6
Other,3
Other,2
Other,141
Other,987
Other,4
Other,16
Other,4
Other,1
Other,21
Other,44
Other,42
Other,19
Multi-lang,199
Other,124
Other,55
Other,34
Other,2
Other,15
Other,8
Other,40
Other,7
Other,9
Other,2
Other,2
Other,1
Other,50
Other,5
Other,54
Other,97
Other,36
Other,27
Other,1
Other,29
Other,1
Other,7
Other,13
Other,1
Other,2
Other,7
Other,1
Other,18
Other,54
Other,38
Other,5
Other,4
Other,3
Other,15
Other,51
Other,26
Other,3
Other,2
Other,47
Other,64
Other,0
Other,1
Other,3
Other,1
Other,60
Other,42
Other,36
Other,107
Other,1
Other,12
Other,4
Other,1
Multi-lang,3
Multi-lang,0
Other,0
Multi-lang,262
Other,1
Other,1
Other,1
Other,4
Other,1
Other,48
Other,47
Other,11
Other,7
Other,53
Other,43
Other,230
Other,1
Other,2
Other,1
Other,4
Other,20
Other,4
Other,3
Other,1
Other,0
Other,2
Other,2
Other,1
Other,38
Other,1
Multi-lang,415
Other,61
Other,14
Other,14
Other,1
Other,2
Other,3
Other,1
Multi-lang,31
Multi-lang,722
Other,11
Other,110
Other,6
Other,1
Other,7
Other,2
Multi-lang,1122
Other,1
Other,448
Other,21
Multi-lang,35
Other,2
Other,2
Other,3
Other,1
Other,1
Other,22
Other,20
Other,17
Other,66
Other,25
Other,1
Other,1
Other,1
Other,9
Other,1
Other,3
Other,39
Other,3588
Other,2278
Other,1
Other,12
Other,4
Other,2
Other,18
Other,1
Other,2265
Other,2288
Other,10
Other,26
Other,27
Other,7
Other,532
Other,23
Other,123
Other,106
Other,211
Other,83
Other,31
Other,12
Other,112
Other,100
Other,53
Other,277
Other,4
Other,386
